id,object_id,degree_type,subject,institution,graduated_at,created_at,updated_at
87,p:7061,BA,environmental policy and communications,"University Of Massachusetts, Amherst",1/1/1975,8/3/2008 15:39:24,8/3/2008 15:39:24
88,p:7063,MBA,,Harvard University,1/1/1997,8/3/2008 18:59:23,25/12/2009 06:04:05
89,p:7063,BA,Business Administration,University of Western Ontario,1/1/1992,8/3/2008 18:59:23,25/12/2009 06:04:05
90,p:7080,MS,MBA,Harvard University,1/1/1986,8/3/2008 22:10:32,8/3/2008 22:10:32
91,p:7080,MS,Aerospace Engineering,Stanford University,1/1/1982,8/3/2008 22:10:32,8/3/2008 22:10:32
92,p:7080,BA,EE,UCSD,1/1/1979,8/3/2008 22:10:32,8/3/2008 22:10:32
93,p:6060,BA,"International Relations, Business & Economics",Boston University,1/1/1990,9/3/2008 22:22:37,31/5/2013 06:56:26
94,p:3496,BS,Psychology,Washington College,1/1/1994,9/3/2008 22:23:42,19/9/2013 06:19:36
95,p:2293,BASC,Electrical Engineering,University of Toronto,1/1/2007,9/3/2008 23:51:41,30/8/2008 18:59:12
96,p:6700,AA,CUNY,Liberal Arts & Sciences,1/1/1998,10/3/2008 00:11:03,10/3/2008 00:11:03
97,p:6591,PhD,Physics,The Weizmann Institute of Science,1/1/2002,10/3/2008 00:15:08,17/9/2013 05:04:09
98,p:1457,BS,Information & Computer Science,UC Irvine,1/1/1988,10/3/2008 00:29:36,10/3/2008 00:29:36
99,p:1455,BA,Entrepreneurship,University of Redlands,1/1/2006,10/3/2008 00:56:25,10/3/2008 00:56:25
100,p:938,BS,Computer Science,Universidad Catolica del Uruguay,1/1/2006,10/3/2008 01:00:53,10/3/2008 01:00:53
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
